Razón Social;Dirección
DISTRICONDOR LIMITADA;CARRERA 58 N. 62 - 74
AUTOMARKET LIMITED;CALLE 90 NO. 21 32
GARCILLANTAS S.A.                                                                                   ;AVENIDA QUEBRADA SECA 13-07                                                     
ALCIAUTOS LTDA;CALLE 118 NO.7-76
AUTO ANDROMEDA S.A;AVENIDA 3 NORTE NO 33-22
PROCAR INVERSIONES S EN C S;AV. 6A NO.0-102 LA MERCED                                                       
AUTOMAYOR S A;CALLE 72 NRO.13-49 PISO 3
DISTRIBUIDORA DE RODAMIENTOS LTDA;CALLE 7 # 15A-21
OBYCO S.A.                                                                                          ;CARRERA 15 NO. 9 23
TOLIMOTOS LIMITADA;CARRERA 5A NUMERO 37-55                                               
CONSTRUCTORA BOSQUE DE LOS REYES S.A. ;CALLE 81 N 4 12                                                                 
LATINOAMERICANA DE CONSTRUCCIONES S.A.;CARRERA 43 A NO. 7 50 OFC.1008 TORRE EMP. DANN
INVERSIONES CONJUNTO M DE Y S.A.                                                                    ;CRA 9 # 74-08 P7
MARUBENI CORPORATION SUCURSAL COLOMBIA;CARRERA 7 NO. 74-21 PISO 6
R & A GALANTE HERRERA LTDA;AVENIDA CORPAS # 157 A 60 - SUBA
ISAAC Y DURAN LTDA;CALLE 21 NO. 16 - 11 OFICINA 5C
INGENIERIA 79 S.A.;CARRERA 16 N- 79-20 OF-906                                            
PROMOCIONES FUTURA S.A.;CALLE 78 NO.9-27
ORTIZ REY INGENIEROS LTDA;TRANSV. 19 NO. 59-54
CONSRUCTORA  A&C  S.A.                                                ;CALLE 33 N. 16-37
GREGA LTDA                                                                                          ;CALLE 75 NO. 7-30
COCO COMPAÑIA DE CONSTRUCCIONES LTDA                                                           ;CARRERA 15 101 47                                                               
INDUSTRIAL DE MEZCLAS ASFALTICA LTDA;DIAGONAL 24 NO. 42 B 25                                     
ORDOÑEZ CARDENAS Y CIA LTDA INGENIEROS CONTRATISTAS CONSTRUCTORES                                  ;CALLE  44 NO. 34-54
TRIANON S.A.;CALLE 7 # 33-22
PETROLEUM TUBULAR INSPECCION INC. SUCURSAL DE COLOMBIA;CARRERA 8A N.99-51 TORRE A OFIC.602
FUNDICION ESCOBAR S.A.                                                ;CALLE 34 NO. 43-69
VILLEGAS ASOCIADOS S A                                                         ;AVENIDA 82 NO. 11 - 50 INT. 3                                                   
ZETTA COMUNICADORES LIMITADA;CARRERA 17 # 89-32
CARTOPEL S.A.;CALLE 56  N. 5N-114   FLORA INDUSTRIAL                      
YASAKI METREX S.A.;PARQUE INDUSTRIAL                                                     
FEPCO ZONA FRANCA S.A.                                                ;CARRERA 7 NO.74-21 PISO 10
RAPISCOL S.A                                                                                        ;CARRERA 67 NO. 58-31  SUR
TEXTILES WAMSUTTA LTDA.;CRA.65B NO.14-80
DISTRIBUIDORA DE CONFECCIONES Y TEXTILES DISCONYTEX LTDA;CARRERA 60 N. 12-63
SERRANO GOMEZ PRETECOR LTDA.;CRA.62 NO. 81-45 OFC.405
PREMOLDA LTDA;KILOMETRO 3 VIA CALI - CAVASA                                                   
PRODUCTOS ESPECIALES DE CONCRETO S A;KM. 5 VIA BOCONO
TRIMCO S.A.                                                           ;CALLE 16 NO.62-49
DITE S.A.;CARRERA 32 # 10-380
GRUPO INDUCILEMAN LTDA.;CARRERA 93 NO. 54-55 SUR
COMPAÑIA METALICA ASOCIADA C M A LTDA;CARRERA 128 Nø 16 - 32
CONSTRUCTORA SANTA ANA S.A.                                           ;KRA. 100 N. 11 - 90 OF. 506 TORRE VALLE DE LILI
PRODUCTORA ANDINA DE DULCES S A;CARRERA 36 NRO. 17 54                                                           
TELESENTINEL LTDA.                                                    ;CRRA 7 32 29 PISO 32                                                            
